# Fields: Hash, Region, Board, PCB, Chip, Mapper, PrgRomSize, ChrRomSize, ChrRamSize, PrgRamSize, Battery, Mirroring, SubMapper, Title
3525548142955285,NTSC,,,,1,8,0,1,2,true,SingleScreenA,0,"Dungeon Kid (Japan).nes"
4770734571458133,NTSC,,,,4,32,32,0,0,true,Horizontal,0,"Hoshi no Kirby - Yume no Izumi no Monogatari (Japan).nes"
11263037245411186,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Little Ninja Brothers (USA).nes"
17123458911845615,NTSC,,,,1,8,0,1,2,false,SingleScreenA,0,"M.U.L.E. (USA).nes"
22264234244545855,NTSC,,,,5,16,16,0,4,true,Horizontal,0,"Nobunaga\'s Ambition II (USA).nes"
30712191589082369,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Batman - The Video Game (USA).nes"
31450944788160909,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Sesame Street ABC & 123 (USA).nes"
34780704669536834,NTSC,,,,1,16,0,1,2,true,SingleScreenA,0,"Final Fantasy II (USA) (Proto).nes"
41597205704495120,PAL,,,,2,8,0,1,0,false,Vertical,0,"Jack Nicklaus\' Greatest 18 Holes of Major Championship Golf (Europe).nes"
48836600488715039,NTSC,,,,0,2,1,0,0,false,Vertical,0,"Gyromite (World).nes"
55798787240388063,NTSC,,,,1,4,2,0,2,true,SingleScreenA,0,"Dragon Warrior (USA) (Rev A).nes"
56993788687882802,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Addams Family, The (USA).nes"
59541260490232239,NTSC,,,,1,16,0,1,2,true,SingleScreenA,0,"Deep Dungeon IV - Kuro no Youjutsushi (Japan).nes"
76362783699431779,NTSC,,,,0,1,1,0,0,false,Horizontal,0,"Pac-Man (Japan) (Rev A).nes"
78512247320340310,NTSC,,,,3,2,2,0,0,false,Vertical,0,"Ikinari Musician (Japan).nes"
81048345132173110,PAL,,,,1,8,16,0,2,false,SingleScreenA,0,"Rainbow Islands - Bubble Bobble 2 (Europe).nes"
81388020119402904,NTSC,,,,3,2,1,0,0,false,Horizontal,0,"Fire Dragon (Asia) (Unl).nes"
83834537398596249,NTSC,,,,3,2,4,0,0,false,Vertical,0,"Mickey Mouse - Fushigi no Kuni no Daibouken (Japan).nes"
106532993254428680,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Darkwing Duck (USA).nes"
106780250496423255,NTSC,,,,1,8,0,1,2,false,SingleScreenA,0,"Mezase Pachi Pro - Pachio-kun (Japan).nes"
113704398057717645,NTSC,,,,0,2,1,0,0,false,Horizontal,0,"Lot Lot (Japan).nes"
119378311844551520,PAL,,,,2,8,0,1,0,false,Vertical,0,"Rod Land featuring Rit and Tam (Europe) (Beta).nes"
133284173839577136,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Bigfoot (USA).nes"
137185852609966217,NTSC,,,,3,2,4,0,0,false,Horizontal,0,"Bump\'n\'Jump (USA).nes"
139772950660120977,NTSC,,,,2,8,0,1,0,false,Vertical,0,"Tatakai no Banka (Japan) (Rev A).nes"
144052593591617577,PAL,,,,0,1,1,0,0,false,Horizontal,0,"Devil World (Europe).nes"
145942682843262827,PAL,,,,0,2,4,0,0,false,Vertical,0,"Master Chu and the Drunkard Hu (Asia) (PAL) (Unl).nes"
147962507304774381,NTSC,,,,3,2,1,0,0,false,Vertical,0,"Monstruo de los Globos, El (Spain) (Rev 1) (Gluk Video) (Unl).nes"
161388480754987736,PAL,,,,1,8,16,0,2,false,SingleScreenA,0,"Ghostbusters II (Europe).nes"
169608372898551743,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Fighting Golf (Japan).nes"
175667776196634331,NTSC,,,,0,1,1,0,0,false,Vertical,0,"Bomberman (USA).nes"
181426592240944419,PAL,,,,4,8,16,0,0,false,Horizontal,0,"Alien 3 (Europe).nes"
182238642442372845,NTSC,,,,7,16,0,1,0,false,Horizontal,0,"R.C. Pro-Am II (USA).nes"
196230878819622852,NTSC,,,,1,32,0,1,2,false,SingleScreenA,0,"Ninjara Hoi! (Japan).nes"
205369185284735563,PAL,,,,0,2,1,0,0,false,Vertical,0,"Dancing Blocks (Asia) (PAL) (Unl).nes"
228768043819515335,NTSC,,,,0,2,1,0,0,false,Vertical,0,"Onyanko Town (Japan).nes"
230695578318552504,NTSC,,,,2,8,0,1,0,false,Vertical,0,"WWF Wrestlemania Challenge (USA).nes"
231595377598181648,NTSC,,,,4,32,32,0,0,true,Horizontal,0,"Kirby\'s Adventure (Canada).nes"
231915433007051916,NTSC,,,,4,16,16,0,0,true,Vertical,0,"Tower of Radia (USA) (Proto).nes"
239989294102487310,NTSC,,,,2,8,0,1,0,false,Vertical,0,"Akumajou Dracula (Japan).nes"
241429986219363727,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Drac\'s Night Out (USA) (Proto).nes"
244945196681887382,PAL,,,,2,8,0,1,0,false,Vertical,0,"Castelian (Europe).nes"
254703415942040142,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Double Dragon - Sou Setsu Ryuu (Japan).nes"
274082718174130836,NTSC,,,,3,2,4,0,0,false,Vertical,0,"Sanrio Carnival 2 (Japan).nes"
284236516755961736,NTSC,,,,3,2,4,0,0,false,Vertical,0,"Tetsudou Ou - Famicom Boardgame (Japan).nes"
285517267545612431,PAL,,,,1,8,16,0,2,true,SingleScreenA,0,"Pirates! (Europe).nes"
286746746289346361,PAL,,,,1,8,16,0,2,false,SingleScreenA,0,"Operation Wolf (Europe).nes"
296301212012000172,NTSC,,,,1,8,4,0,2,false,SingleScreenA,0,"Igo Shinan \'91 (Japan).nes"
311428808484863574,NTSC,,,,1,8,16,0,2,true,SingleScreenA,0,"Baseball Star - Mezase Sankanou!! (Japan).nes"
330681231378882481,NTSC,,,,2,8,0,1,0,false,Vertical,0,"Family Quiz - 4-nin wa Rival (Japan).nes"
333448987258847197,NTSC,,,,0,2,1,0,0,true,Vertical,0,"Family BASIC (Japan) (v3.0).nes"
337395873652068224,PAL,,,,1,8,16,0,2,false,SingleScreenA,0,"P.O.W. - Prisoners of War (Europe).nes"
368691795002607506,NTSC,,,,1,16,0,1,2,true,SingleScreenA,0,"Final Fantasy II (Japan).nes"
374545106342209974,PAL,,,,1,2,4,0,2,false,SingleScreenA,0,"Adventures of Lolo (Europe).nes"
378133000519426289,NTSC,,,,0,1,1,0,0,false,Vertical,0,"Millipede (USA).nes"
391309616595388037,NTSC,,,,4,8,32,0,0,false,Horizontal,0,"JuJu Densetsu (Japan).nes"
393077450922014229,NTSC,,,,2,8,0,1,0,false,Vertical,0,"Tatakai no Banka (Japan).nes"
444068956220330017,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Infiltrator (USA).nes"
445360796252965507,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Super Jeopardy! (USA).nes"
448613999594749364,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Home Alone 2 - Lost in New York (USA).nes"
448618011740964833,PAL,,,,1,8,16,0,2,false,SingleScreenA,0,"Iron Tank - The Invasion of Normandy (Europe).nes"
459429920864150214,NTSC,,,,4,16,16,0,0,true,Horizontal,0,"Pachio-kun 5 (Japan).nes"
461866383181282758,NTSC,,,,1,8,16,0,2,true,SingleScreenA,0,"Obocchama-kun (Japan).nes"
461880636011392536,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Krion Conquest, The (USA).nes"
479498138023120116,NTSC,,,,4,4,4,0,0,false,Vertical,0,"Vindicators (USA) (Unl).nes"
518817945067664848,NTSC,,,,2,8,0,1,0,false,Horizontal,0,"Rainbow Islands (USA).nes"
527583329642445262,NTSC,,,,1,16,0,1,2,true,SingleScreenA,0,"Best Play Pro Yakyuu \'90 (Japan).nes"
532279674669121238,NTSC,,,,1,8,0,1,2,false,SingleScreenA,0,"Rad Racer (USA).nes"
539667255444162629,NTSC,,,,0,2,1,0,0,false,Vertical,0,"Sqoon (Japan) (Rev A).nes"
542023908333788639,NTSC,,,,1,16,0,1,2,true,SingleScreenA,0,"Isaki Shuugorou no Keiba Hisshou Gaku (Japan).nes"
